id,reason_text,signal_primary,signal_secondary,mbti_reference
1,"Logika dan efisiensi sangat penting bagiku. Karena itu, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",logical_reasoning,structured_decision,INTJ
2,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Karena itu, logika dan efisiensi sangat penting bagiku.",internal_reflection,logical_reasoning,INTJ
3,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Karena itu, logika dan efisiensi sangat penting bagiku.",internal_reflection,logical_reasoning,INTJ
4,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Selain itu, logika dan efisiensi sangat penting bagiku.",internal_reflection,logical_reasoning,INTJ
5,"Logika dan efisiensi sangat penting bagiku. Aku merasa bahwa, aku membutuhkan waktu sendiri untuk berpikir mendalam.",logical_reasoning,structured_decision,INTJ
6,"Logika dan efisiensi sangat penting bagiku. Aku merasa bahwa, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",logical_reasoning,structured_decision,INTJ
7,"Logika dan efisiensi sangat penting bagiku. Di sisi lain, aku membutuhkan waktu sendiri untuk berpikir mendalam.",logical_reasoning,structured_decision,INTJ
8,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Dalam banyak situasi, aku membutuhkan waktu sendiri untuk berpikir mendalam.",abstract_thinking,structured_decision,INTJ
9,"Logika dan efisiensi sangat penting bagiku. Dalam banyak situasi, aku membutuhkan waktu sendiri untuk berpikir mendalam.",logical_reasoning,structured_decision,INTJ
10,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Sering kali, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",internal_reflection,logical_reasoning,INTJ
11,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Dalam banyak situasi, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",abstract_thinking,structured_decision,INTJ
12,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Aku merasa bahwa, aku membutuhkan waktu sendiri untuk berpikir mendalam.",abstract_thinking,structured_decision,INTJ
13,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Selain itu, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",abstract_thinking,structured_decision,INTJ
14,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Di sisi lain, aku membutuhkan waktu sendiri untuk berpikir mendalam.",abstract_thinking,structured_decision,INTJ
15,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Sering kali, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",internal_reflection,logical_reasoning,INTJ
16,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Aku merasa bahwa, aku membutuhkan waktu sendiri untuk berpikir mendalam.",abstract_thinking,structured_decision,INTJ
17,"Logika dan efisiensi sangat penting bagiku. Di sisi lain, aku membutuhkan waktu sendiri untuk berpikir mendalam.",logical_reasoning,structured_decision,INTJ
18,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Aku merasa bahwa, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",abstract_thinking,structured_decision,INTJ
19,"Aku selalu memikirkan strategi jangka panjang sebelum bertindak. Sering kali, logika dan efisiensi sangat penting bagiku.",abstract_thinking,structured_decision,INTJ
20,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Aku merasa bahwa, aku selalu memikirkan strategi jangka panjang sebelum bertindak.",internal_reflection,logical_reasoning,INTJ
21,"Logika dan efisiensi sangat penting bagiku. Karena itu, aku membutuhkan waktu sendiri untuk berpikir mendalam.",logical_reasoning,structured_decision,INTJ
22,"Aku membutuhkan waktu sendiri untuk berpikir mendalam. Sering kali, aku membutuhkan waktu sendiri untuk berpikir mendalam.",internal_reflection,logical_reasoning,INTJ
