sample_id,text,function,stance,label,family_id,split,source,generator_version,source_sample_id,source_family_id,source_split
v1:SYN07054,aku tidak terbiasa memeriksa kondisi fisik sebenarnya daripada hanya membayangkannya ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-06,train,synthetic,synthetic-cognitive-v1,SYN07054,Se-06,train
v1:SYN01112,aku tidak terbiasa memeriksa konsistensi logika sebelum menerima sebuah penjelasan dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-00,train,synthetic,synthetic-cognitive-v1,SYN01112,Ti-00,train
v1:SYN08224,aku tidak terbiasa mempertahankan rutinitas yang terbukti nyaman dari pengalaman berulang ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Si,oppose,Si:oppose,Si-07,train,synthetic,synthetic-cognitive-v1,SYN08224,Si-07,train
v1:SYN05907,kalau ditanya aku tidak terbiasa memperhatikan makna tersembunyi di balik pola yang berulang saat kuliah. Itu bukan cara yang biasanya kupakai.,Ni,oppose,Ni:oppose,Ni-05,train,synthetic,synthetic-cognitive-v1,SYN05907,Ni-05,train
v2:SYN02542,dalam keseharian saya tidak terbiasa mencari pertentangan antar argumen sebelum menyimpulkan sesuatu dalam kegiatan sehari hari. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-02,train,synthetic,synthetic-cognitive-v2,SYN02542,Ti-02,train
v2:SYN12669,dalam keseharian saya cenderung mencari benang merah antara peristiwa yang tampak tidak berhubungan ketika mengerjakan tugas.,Ni,support,Ni:support,Ni-01,train,synthetic,synthetic-cognitive-v2,SYN12669,Ni-06,train
v1:SYN08662,aku suka berkumpul tapi aku jarang bicara dalam kegiatan komunitas. Itu saja yang bisa kuceritakan.,unknown,unknown,unknown,unknown-00,train,synthetic,synthetic-cognitive-v1,SYN08662,unknown-00,train
v2:SYN04277,kalau ditanya aku tidak terbiasa mempertimbangkan arti pribadi dari suatu pilihan sebelum ikut arus kelompok ketika berdiskusi dalam kelompok. Itu bukan cara yang biasanya kupakai.,Fi,oppose,Fi:oppose,Fi-09,validation,synthetic,synthetic-cognitive-v2,SYN04277,Fi-10,validation
v2:SYN06763,biasanya aku cenderung mengatur gaya bicara supaya lawan bicara merasa dihargai ketika mengerjakan tugas.,Fe,support,Fe:support,Fe-01,train,synthetic,synthetic-cognitive-v2,SYN06763,Fe-01,validation
v2:SYN04581,aku belum menemukan cara terbaik menjelaskan hal ini ketika mengerjakan tugas. Begitu yang kurasakan.,unknown,unknown,unknown,unknown-04,train,synthetic,synthetic-cognitive-v2,SYN04581,unknown-09,train
v2:SYN10448,dalam keseharian saya tidak terbiasa menguji contoh pengecualian untuk mencari celah suatu penjelasan saat kuliah. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-10,test,synthetic,synthetic-cognitive-v2,SYN10448,Ti-06,train
v2:SYN01269,"aku kadang menghitung untung rugi secara nyata sebelum mengambil langkah saat menghadapi persoalan baru, tetapi kadang tidak. Itu bergantung pada keadaan.",Te,mixed,Te:mixed,Te-10,test,synthetic,synthetic-cognitive-v2,SYN01269,Te-07,train
v1:SYN08446,"biasanya aku kadang memakai pembelajaran dari pengalaman terdahulu agar kesalahan tidak berulang ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-09,validation,synthetic,synthetic-cognitive-v1,SYN08446,Si-09,validation
v2:SYN07864,kalau ditanya aku tidak terbiasa mempertimbangkan arti pribadi dari suatu pilihan sebelum ikut arus kelompok ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Fi,oppose,Fi:oppose,Fi-09,validation,synthetic,synthetic-cognitive-v2,SYN07864,Fi-10,train
v1:SYN03071,saya cenderung mempertemukan kepentingan orang yang berselisih tanpa mempermalukan mereka dalam kegiatan komunitas.,Fe,support,Fe:support,Fe-10,test,synthetic,synthetic-cognitive-v1,SYN03071,Fe-10,test
v2:SYN06581,saya cenderung memperhatikan perbedaan kecil karena masih ingat kondisi sebelumnya ketika berdiskusi dalam kelompok.,Si,support,Si:support,Si-08,validation,synthetic,synthetic-cognitive-v2,SYN06581,Si-04,train
v1:SYN01018,kalau ditanya aku cenderung mengorganisasi waktu dan tenaga supaya sasaran yang disepakati tercapai ketika bekerja bersama teman.,Te,support,Te:support,Te-11,test,synthetic,synthetic-cognitive-v1,SYN01018,Te-11,test
v1:SYN04918,kalau ditanya aku tidak terbiasa mencoba sudut pandang baru walaupun gagasannya belum praktis ketika bekerja bersama teman. Itu bukan cara yang biasanya kupakai.,Ne,oppose,Ne:oppose,Ne-06,train,synthetic,synthetic-cognitive-v1,SYN04918,Ne-06,train
v2:SYN11428,biasanya aku tidak terbiasa mencari makna tunggal di balik kejadian yang berulang dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Ni,oppose,Ni:oppose,Ni-05,train,synthetic,synthetic-cognitive-v2,SYN11428,Ni-02,test
v1:SYN01070,"dalam keseharian saya kadang mengorganisasi waktu dan tenaga supaya sasaran yang disepakati tercapai dalam kegiatan sehari hari, tetapi kadang tidak. Itu bergantung pada keadaan.",Te,mixed,Te:mixed,Te-11,test,synthetic,synthetic-cognitive-v1,SYN01070,Te-11,test
v1:SYN01877,"biasanya aku kadang mempertanyakan aturan yang alasan logisnya belum kupahami dalam kegiatan komunitas, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-08,validation,synthetic,synthetic-cognitive-v1,SYN01877,Ti-08,validation
v1:SYN05876,kalau ditanya aku cenderung memperhatikan makna tersembunyi di balik pola yang berulang dalam kegiatan sehari hari.,Ni,support,Ni:support,Ni-05,train,synthetic,synthetic-cognitive-v1,SYN05876,Ni-05,train
v2:SYN04443,"kalau ditanya aku kadang mempertanyakan aturan lama dan membayangkan versi barunya ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-04,train,synthetic,synthetic-cognitive-v2,SYN04443,Ne-06,train
v2:SYN12003,"kalau ditanya aku kadang menyusun visi besar sebelum menentukan langkah berikutnya saat menghadapi persoalan baru, tetapi kadang tidak. Itu bergantung pada keadaan.",Ni,mixed,Ni:mixed,Ni-09,validation,synthetic,synthetic-cognitive-v2,SYN12003,Ni-07,test
v1:SYN01879,"dalam keseharian saya kadang mempertanyakan aturan yang alasan logisnya belum kupahami ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-08,validation,synthetic,synthetic-cognitive-v1,SYN01879,Ti-08,validation
v2:SYN08095,aku cenderung menyatukan potongan informasi menjadi satu pemahaman utuh saat menghadapi persoalan baru.,Ni,support,Ni:support,Ni-02,train,synthetic,synthetic-cognitive-v2,SYN08095,Ni-03,test
v2:SYN12413,dalam keseharian saya tidak terbiasa mengatur gaya bicara supaya lawan bicara merasa dihargai dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Fe,oppose,Fe:oppose,Fe-01,train,synthetic,synthetic-cognitive-v2,SYN12413,Fe-01,train
