sample_id,text,function,stance,label,family_id,split,source,generator_version
SYN00001,dalam keseharian saya cenderung memunculkan opsi tambahan saat orang lain merasa buntu ketika mengerjakan tugas.,Ne,support,Ne:support,Ne-10,train,synthetic,synthetic-cognitive-v2
SYN00002,"biasanya aku kadang memakai pelajaran dari pengalaman lama agar kesalahan tak berulang saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-10,train,synthetic,synthetic-cognitive-v2
SYN00003,saya cenderung menemukan kegunaan baru dari sesuatu yang sudah biasa saat menghadapi persoalan baru.,Ne,support,Ne:support,Ne-07,train,synthetic,synthetic-cognitive-v2
SYN00004,aku tidak terbiasa merevisi rencana kerja setelah melihat capaian nyata di lapangan saat menghadapi persoalan baru. Itu bukan cara yang biasanya kupakai.,Te,oppose,Te:oppose,Te-08,train,synthetic,synthetic-cognitive-v2
SYN00005,dalam keseharian saya tidak terbiasa mencocokkan keadaan hari ini dengan catatan dalam ingatan saat kuliah. Itu bukan cara yang biasanya kupakai.,Si,oppose,Si:oppose,Si-03,validation,synthetic,synthetic-cognitive-v2
SYN00006,biasanya aku tidak terbiasa menganalisis prinsip dasar meski belum ada manfaat praktis ketika berdiskusi dalam kelompok. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-04,train,synthetic,synthetic-cognitive-v2
SYN00007,"biasanya aku kadang menyusun visi besar sebelum menentukan langkah berikutnya ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Ni,mixed,Ni:mixed,Ni-07,validation,synthetic,synthetic-cognitive-v2
SYN00008,"kalau ditanya aku kadang tertarik mengeksplorasi ide baru walau belum ada rencana pasti ketika berdiskusi dalam kelompok, tetapi kadang tidak. Itu bergantung pada keadaan.",Ne,mixed,Ne:mixed,Ne-13,test,synthetic,synthetic-cognitive-v2
SYN00009,biasanya aku cenderung menyusun visi besar sebelum menentukan langkah berikutnya ketika bekerja bersama teman.,Ni,support,Ni:support,Ni-07,train,synthetic,synthetic-cognitive-v2
SYN00010,kalau ditanya aku cenderung menjaga integritas pribadi walau harus berbeda dari kebanyakan saat menyelesaikan proyek.,Fi,support,Fi:support,Fi-15,validation,synthetic,synthetic-cognitive-v2
SYN00011,aku cenderung mengamati detail lingkungan sebelum mengambil tindakan saat kuliah.,Se,support,Se:support,Se-13,train,synthetic,synthetic-cognitive-v2
SYN00012,saya tidak terbiasa menganalisis prinsip dasar meski belum ada manfaat praktis dalam kegiatan komunitas. Itu bukan cara yang biasanya kupakai.,Ti,oppose,Ti:oppose,Ti-04,validation,synthetic,synthetic-cognitive-v2
SYN00013,"biasanya aku kadang memperhatikan keadaan sekitar lalu segera bertindak saat menyelesaikan proyek, tetapi kadang tidak. Itu bergantung pada keadaan.",Se,mixed,Se:mixed,Se-01,train,synthetic,synthetic-cognitive-v2
SYN00014,biasanya aku tidak terbiasa mempertemukan kepentingan yang berselisih tanpa mempermalukan siapa pun saat kuliah. Itu bukan cara yang biasanya kupakai.,Fe,oppose,Fe:oppose,Fe-10,train,synthetic,synthetic-cognitive-v2
SYN00015,dalam keseharian saya tidak terbiasa menyesuaikan gerakan berdasarkan apa yang terlihat langsung ketika mengerjakan tugas. Itu bukan cara yang biasanya kupakai.,Se,oppose,Se:oppose,Se-07,train,synthetic,synthetic-cognitive-v2
SYN00016,"biasanya aku kadang menjaga rutinitas yang sudah terasa nyaman dan familiar saat menghadapi persoalan baru, tetapi kadang tidak. Itu bergantung pada keadaan.",Si,mixed,Si:mixed,Si-06,validation,synthetic,synthetic-cognitive-v2
SYN00017,"aku kadang menyusun ulang logika suatu masalah dari awal ketika bekerja bersama teman, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-12,train,synthetic,synthetic-cognitive-v2
SYN00018,"saya kadang menangkap perubahan kecil pada suara atau gerakan di sekitar saat kuliah, tetapi kadang tidak. Itu bergantung pada keadaan.",Se,mixed,Se:mixed,Se-03,train,synthetic,synthetic-cognitive-v2
SYN00019,"dalam keseharian saya kadang menangani masalah dengan memperhatikan benda di sekitar ketika mengerjakan tugas, tetapi kadang tidak. Itu bergantung pada keadaan.",Se,mixed,Se:mixed,Se-12,train,synthetic,synthetic-cognitive-v2
SYN00020,"dalam keseharian saya kadang memperjelas definisi supaya alur berpikir tidak rancu dalam kegiatan sehari hari, tetapi kadang tidak. Itu bergantung pada keadaan.",Ti,mixed,Ti:mixed,Ti-03,train,synthetic,synthetic-cognitive-v2
SYN00021,aku cenderung menghubungkan dua hal yang tampak tidak berkaitan menjadi ide baru saat kuliah.,Ne,support,Ne:support,Ne-02,train,synthetic,synthetic-cognitive-v2
