id,reason_text,cognitive_function,signal_strength,function_group
1,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
2,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
3,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
4,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
5,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
6,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
7,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
8,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
9,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
10,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
11,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
12,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
13,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
14,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
15,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
16,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
17,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
18,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
19,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
20,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
21,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
22,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
23,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
24,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
25,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
26,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
27,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
28,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
29,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
30,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
31,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
32,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
33,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
34,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
35,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
36,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
37,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
38,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
39,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
40,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
41,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
42,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
43,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
44,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
45,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
46,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
47,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
48,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
49,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
50,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
51,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
52,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
53,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
54,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
55,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
56,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
57,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
58,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
59,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
60,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
61,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
62,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
63,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
64,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
65,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
66,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
67,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
68,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
69,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
70,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
71,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
72,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
73,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
74,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Dalam banyak situasi, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
75,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
76,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
77,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
78,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
79,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
80,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
81,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
82,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
83,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
84,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Di sisi lain, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,high,Perceiving
85,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
86,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
87,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,high,Perceiving
88,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
89,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
90,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Karena itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
91,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,low,Perceiving
92,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Di sisi lain, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,low,Perceiving
93,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
94,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,medium,Perceiving
95,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Dalam banyak situasi, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
96,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
97,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku cenderung fokus pada visi jangka panjang dibanding detail kecil.",Ni,medium,Perceiving
98,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Sering kali, pola tersembunyi dan makna abstrak selalu menarik perhatianku.",Ni,low,Perceiving
99,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
100,"Pola tersembunyi dan makna abstrak selalu menarik perhatianku. Selain itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,high,Perceiving
101,"Aku cenderung fokus pada visi jangka panjang dibanding detail kecil. Karena itu, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
102,"Aku sering memikirkan kemungkinan masa depan secara mendalam. Sering kali, aku sering memikirkan kemungkinan masa depan secara mendalam.",Ni,medium,Perceiving
